,Unnamed: 0,disp_id,client_id,account_id,type,birth_number,client_district_id,client_district_name,client_district_region,client_district_no. of inhabitants,client_district_no. of municipalities with inhabitants < 499,client_district_no. of municipalities with inhabitants 500-1999,client_district_no. of municipalities with inhabitants 2000-9999,client_district_no. of municipalities with inhabitants >10000,client_district_no. of cities,client_district_ratio of urban inhabitants,client_district_average salary,client_district_unemploymant rate '95,client_district_unemploymant rate '96,client_district_no. of enterpreneurs per 1000 inhabitants,client_district_no. of commited crimes '95,client_district_no. of commited crimes '96,account_district_id,frequency,date,account_district_name,account_district_region,account_district_no. of inhabitants,account_district_no. of municipalities with inhabitants < 499,account_district_no. of municipalities with inhabitants 500-1999,account_district_no. of municipalities with inhabitants 2000-9999,account_district_no. of municipalities with inhabitants >10000,account_district_no. of cities,account_district_ratio of urban inhabitants,account_district_average salary,account_district_unemploymant rate '95,account_district_unemploymant rate '96,account_district_no. of enterpreneurs per 1000 inhabitants,account_district_no. of commited crimes '95,account_district_no. of commited crimes '96,gender
1473,1699,1802,1802,1487,DISPONENT,641016,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,930910,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1474,1780,1888,1888,1557,OWNER,180924,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,961213,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1475,1784,1892,1892,1561,OWNER,280326,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,950401,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1476,1785,1893,1893,1561,DISPONENT,340211,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,950401,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1477,1795,1904,1904,1571,OWNER,410222,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960729,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1478,1844,1955,1955,1612,OWNER,711028,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960212,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1479,2083,2200,2200,1815,OWNER,530731,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,930417,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1480,2209,2335,2335,1924,OWNER,340328,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960516,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1481,2605,2754,2754,2274,OWNER,780524,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960121,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1482,3006,3173,3173,2629,OWNER,460418,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960910,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1483,3007,3174,3174,2629,DISPONENT,521116,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960910,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1484,3033,3201,3201,2653,OWNER,530806,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970108,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1485,3073,3246,3246,2690,OWNER,310420,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970319,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1486,3105,3279,3279,2716,OWNER,540804,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960108,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1487,3106,3280,3280,2716,DISPONENT,580531,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960108,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1488,3214,3394,3394,2810,OWNER,800704,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,950316,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1489,3236,3420,3420,2829,OWNER,790624,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970818,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1490,3409,3598,3598,2980,OWNER,230911,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,931209,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1491,3410,3599,3599,2980,DISPONENT,310302,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,931209,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1492,3418,3608,3608,2988,OWNER,471209,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,0,961014,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1493,3419,3609,3609,2988,DISPONENT,551026,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,0,961014,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1494,3431,3621,3621,2999,OWNER,390721,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,961008,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1495,3432,3622,3622,2999,DISPONENT,380417,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,961008,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1496,3529,3728,3728,3083,OWNER,360106,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970318,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1497,3530,3729,3729,3083,DISPONENT,410822,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970318,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1498,3532,3732,3732,3085,OWNER,460827,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970703,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1499,3545,3746,3746,3097,OWNER,750125,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970814,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1500,3587,3789,3789,3133,OWNER,641017,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,930614,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1501,3661,3868,3868,3199,OWNER,621114,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960606,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1502,4024,4255,4255,3524,OWNER,250628,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970628,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1503,4058,4289,4289,3554,OWNER,811123,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,930216,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1504,4089,4320,4320,3581,OWNER,581104,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970326,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1505,4250,4495,4495,3727,OWNER,790411,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960119,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1506,4587,4923,4923,4086,OWNER,620702,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960717,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1507,4634,5133,5133,4259,OWNER,590810,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,940408,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1508,4692,5325,5325,4418,OWNER,700918,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,940209,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1509,4693,5326,5326,4418,DISPONENT,670812,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,940209,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1510,4757,5704,5704,4729,OWNER,751009,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,970523,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1511,4762,5760,5760,4774,OWNER,480508,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,940114,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1512,4763,5761,5761,4774,DISPONENT,410511,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,940114,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1513,4791,6114,6114,5065,OWNER,400215,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,930124,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1514,4834,6544,6544,5422,OWNER,740804,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,941022,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1515,4835,6545,6545,5422,DISPONENT,780909,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,941022,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1516,4861,6886,6886,5692,OWNER,420313,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,960225,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1517,5117,10406,10714,8688,OWNER,460331,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,961122,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1518,5286,12535,12843,10439,OWNER,530505,66,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,66,2,931121,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1519,3788,4001,4001,3309,OWNER,560129,69,Jesenik,north Moravia,42821,4,13,5,1,3,48.4,8173,2.8653975131876557,7.01,124,14818.629615674454,1358,66,2,931120,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1520,3515,3711,3711,3069,OWNER,680507,25,Klatovy,west Bohemia,88757,60,33,3,2,10,61.7,8554,2.47,2.68,113,1822.0,2218,66,2,930320,Zdar nad Sazavou,south Moravia,125832,151,41,2,3,5,48.3,8512,3.51,4.12,102,2247.0,2103,M
1521,682,715,715,597,OWNER,520115,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,41,2,931205,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1522,3682,3892,3892,3218,OWNER,790419,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.29,0.43,167,85677.0,99107,41,2,931114,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1523,1754,1862,1862,1536,OWNER,771009,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.83,5.45,94,2123.0,2134,41,1,930122,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1524,112,121,121,100,OWNER,781029,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,931228,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1525,217,231,231,191,OWNER,410218,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,970317,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1526,359,380,380,312,OWNER,730119,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960103,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1527,465,489,489,404,OWNER,401007,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,950428,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1528,469,493,493,408,OWNER,420604,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930721,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1529,780,823,823,686,OWNER,561024,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930404,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1530,1037,1092,1092,907,OWNER,620720,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930709,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1531,1065,1120,1120,930,OWNER,731021,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930803,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1532,1092,1148,1148,952,OWNER,410515,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,971109,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1533,1246,1310,1310,1092,OWNER,770924,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,950606,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1534,1300,1369,1369,1138,OWNER,781023,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,970407,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1535,1342,1418,1418,1178,OWNER,740616,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,970504,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1536,1638,1736,1736,1431,OWNER,790417,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960611,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1537,1690,1793,1793,1480,OWNER,450317,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,1,960703,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1538,1705,1810,1810,1493,OWNER,190630,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930109,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1539,1840,1951,1951,1609,OWNER,710429,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960705,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1540,1893,2006,2006,1655,OWNER,620822,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960415,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1541,1894,2007,2007,1655,DISPONENT,580913,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960415,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1542,2243,2370,2370,1949,OWNER,560821,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,940504,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1543,2269,2396,2396,1971,OWNER,490829,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,950804,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1544,2275,2402,2402,1977,OWNER,481026,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960203,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1545,2384,2513,2513,2072,OWNER,410508,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,931017,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1546,2415,2546,2546,2102,OWNER,611203,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960805,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1547,2513,2652,2652,2190,OWNER,490509,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,1,960604,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1548,2593,2741,2741,2264,OWNER,301129,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,961122,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1549,2623,2775,2775,2292,OWNER,780709,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,950629,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1550,2635,2787,2787,2303,OWNER,761014,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,961124,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1551,2773,2930,2930,2425,OWNER,410322,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930123,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1552,2840,3000,3000,2485,OWNER,280402,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,970818,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1553,2897,3062,3062,2536,OWNER,300822,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,941028,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1554,2918,3083,3083,2553,OWNER,710407,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,950724,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1555,3130,3305,3305,2738,OWNER,711011,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,931112,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1556,3204,3384,3384,2800,OWNER,420803,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,970508,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1557,3517,3713,3713,3071,OWNER,440223,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,961003,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1558,3619,3824,3824,3163,OWNER,710107,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,970524,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1559,3620,3825,3825,3163,DISPONENT,650420,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,970524,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1560,4007,4238,4238,3510,OWNER,710426,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930107,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1561,4358,4608,4608,3824,OWNER,450118,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,940320,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1562,4683,5308,5308,4405,OWNER,740709,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,960908,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1563,4698,5347,5347,4434,OWNER,490331,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,941209,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1564,4957,8366,8366,6930,OWNER,600521,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,930908,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
1565,5298,12763,13071,10630,OWNER,560218,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,41,2,950115,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.32,4.48,114,6445.0,5471,M
